default_module_header; "OMMI"
default_module_footer; ""
registration; "Registration"
registration_pro; "Registration for Pros"
home_page; "Home"
hello; "Hello"
edit; "Edit"
delete; "Delete"
add_admin; "Add Admin"
edit_admin; "Edit Admin"
admins; "Admins"
logout; "Logout"
id; "ID#"
username; "Username"
name; "Name"
email; "Email"
is_active; "Is Active"
title; "Title"
slug; "URL-name"
created_at; "Created At"
is_confirmed; "Confirmed"
company_name; "Company Name"
company_siret; "Company SIRET"
company_zip; "Company Postal Code"
company_city; "Company City"
company_address; "Company Address"
first_name; "Prénom"
last_name; "Nom"
country; "Country"
captcha; "Security Code"
forgot_password; "Mot de passe oublié"
home; "Home"
system; "System"
cms; "CMS"
ajax_loader_example; "AJAX Loader Example"
file_upload_example; "File Upload Example"
users; "Users"
full_name; "Full Name"
activate; "Activate"
block; "Block"
no; "No"
yes; "Yes"
select; "Select"
all; "All"
none; "None"
set_filter; "Set Filter"
reset_filter; "Reset Filter"
operations; "Operations"
please_select; "Please Select"
add_user; "Add User"
execute; "Execute"
per_page; "Per Page"
password; "Mot de passe"
city; "Ville"
save; "Save"
cancel; "Cancel"
settings; "Settings"
actions; "Actions"
add_page; "Add Page"
pages; "Pages"
logout_success; "Logout Successful"
admin_has_been_activated; "Admin has been activated"
admin_has_been_blocked; "Admin has been blocked"
admin_added; "New admin has been added"
admin_updated; "Admin has been updated"
admin_deleted; "Admin has been deleted"
user_added; "New user has been added"
user_updated; "User has been updated"
user_deleted; "User has been deleted"
edit_user; "Edit User"
user_has_been_activated; "User has been activated"
user_has_been_blocked; "User has been blocked"
sender; "Sender"
receiver; "Receiver"
view; "View"
user_messages; "User Messages"
message_details; "Message Details"
back_to_list; "Back to list"

student; "Student"
employee; "Employee"
independent; "Independent"
other; "Other"
    
single; "Only"
couple; "In Couple"
roommate; "In Roommate"
    
employee_cdi; "CDI"
employee_csd; "CSD"

post_my_ad; "Post my ad"
status; "Status"
well; "Well"
rental; "Rental"
description; "Description"
description_of_property; "Description of property"
amount_of_rent_excluding_charges; "Amount of rent excluding charges"
amount_of_charges; "Amount of charges"
is_furnished; "Is furnished"
deposit; "Deposit"
availability; "Availability"
address; "Adresse"
area; "Area"
property_type; "Type"
number_of_rooms; "Number of rooms"
floor; "Etage"
is_lift; "Elevator"
number_of_bathrooms; "Number of bathrooms"
outdoor_space; "Outdoor space"
property_other; "Other"
upload_photos; "Upload photos"
photos; "Photos"
map; "Carte"
lease_duration; "Lease duration"
postcode; "Postcode"
size; "Size"
outhouse; "Outhouse"
decor; "Decor"
building; "Building"
heating_system; "Heating system"

user_owner; "Je cherche une location"
user_resident; "Je suis un propriétaire"
signup_by_email; "S'inscrire par mail"
signup_type; "Vous n'avez pas de compte Ommi?"
signup_header_owner; "Inscription Locataire"
signup_header_resident; "Inscription Propriétaire"
sign_in; "Se connecter"
login; "Se connecter"
property_added; "Great! You has been added new property"

ad_list; "Ad list"
back_to_resaults; "Back to resaults"
localization; "Localization"
calendar; "Calendrier"
charges; "Charges"
price_include_charge; "Price (include charge)"
right_now; "Right now"
metro; "Metro"
search_results; "Search Results"
search_standard; "Standard Search"
search_map; "Search By Map"
login_error_user; "User with give email and password is not found"
title; "Civilité"
title_mr; "Monsieur"
title_mrs; "Madame"
title_miss; "Mademoiselle"
zip; "Code postal"
sign_up; "S’inscrire"    
remember_me; "Souviendront de moi"
phone; "Téléphone"
my_profile; "Mon profil"
my_password; "Mon mot de passe"
current_password; "Mot de passe actuel"
new_password; "Nouveau mot de passe"
confirm_password; "Confirmer le nouveau mot de passe"	
new_email; "Nouvelle adresse email"
my_email; "Mon adresse email"
wrong_current_password; "Current Password is wrong"
apply; "Candidater"
number_of_rooms1; "Nombre de pièces"
create_account; "Créer un compte"
